0	0 1 5 6 7 8 10 11 12 13 14 17 18 20 22 24 29 30 31 34 38 39 40 41 42 44 48 49 50 54 56 57 58 60 61 63 64 65 67 68 69 72 73 74 76 77 81 82 83 84 85 86 87 88 89 92 93 96 97 98 99
1	0 1 2 3 4 5 8 10 12 16 19 21 23 26 27 29 30 31 32 34 35 38 39 44 47 48 50 53 56 57 60 62 63 64 65 66 68 69 70 71 73 74 75 81 83 84 86 89 90 91 92 93 94 96 99
2	0 3 4 5 9 10 12 15 17 19 23 24 25 27 29 33 37 40 41 44 45 47 49 50 53 55 60 63 67 68 69 70 71 76 77 79 81 82 83 93 95 96
3	0 6 7 9 19 24 34 36 40 41 44 45 46 48 50 51 53 54 56 59 60 63 64 74 75 77 78 79 80 83 84 85 89 90 91 92 95 96 97 98 99
4	0 1 3 6 7 10 11 16 19 20 21 23 24 26 29 30 31 34 36 40 41 44 45 46 49 50 51 52 53 54 59 61 63 64 67 68 70 71 74 75 77 78 80 81 85 89 91 92 95 96 97 98 99
5	1 7 21 24 51 52 70 77 91 96 99
6	0 3 4 5 7 9 10 11 12 15 17 18 19 20 22 23 24 25 26 27 28 29 33 36 37 40 41 44 45 47 48 49 50 53 54 55 57 58 59 60 61 62 63 67 68 69 70 71 72 74 76 77 79 80 81 83 84 85 86 89 90 92 93 94 95 96 97
11	6 7 40 58 63 67 76 84 96
12	0 1 2 3 4 5 7 8 9 10 11 12 16 18 19 20 21 22 23 24 26 27 28 29 31 32 33 34 35 36 37 38 39 44 47 48 49 50 53 54 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 78 79 80 81 83 84 85 86 89 90 91 92 93 94 96 97 99
13	0 49 53 82
14	0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 89 90 91 92 93 94 95 96 97 98 99
15	0 1 2 3 4 6 7 8 10 12 13 15 17 18 19 20 23 24 26 27 28 29 31 32 35 37 38 39 40 41 42 43 44 45 47 48 49 50 53 54 55 56 57 58 59 63 64 65 67 68 69 70 71 73 74 76 77 78 79 81 83 84 85 86 88 89 90 91 92 93 94 95 96 97 98 99
16	0 1 4 13 14 17 18 19 24 39 41 42 54 64 65 68 71 72 77 81 82 85 87 88 89 95 96 98 99
18	0 1 2 3 4 5 6 7 8 9 10 12 13 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
19	0 1 2 3 4 5 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 47 48 49 50 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 79 81 82 84 85 86 88 89 90 91 92 93 94 95 96 97 98 99
